DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
明石こころのホスピタル,兵庫県,令和5年度出来高算定病院,0.0,276.0,未結合,,,,
信愛医療療育センター,愛知県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,信愛医療療育センター,,
医療法人研精会豊田西病院,愛知県,令和5年度出来高算定病院,0.0,168.0,未結合,,,,
福岡整形外科病院,福岡県,令和5年度出来高算定病院,30.0,175.0,完全一致,1.0,福岡整形外科病院,,
一般財団法人黎明郷弘前脳卒中・リハビリテーションセンター,青森県,令和5年度出来高算定病院,79.0,248.0,サフィックス一致,0.9,弘前脳卒中・リハビリテーションセンター,,
医療法人社団幸隆会多摩丘陵リハビリテーション病院,東京都,令和5年度出来高算定病院,0.0,117.0,完全一致,1.0,医療法人社団幸隆会 多摩丘陵リハビリテーション病院,,
愛知県医療療育総合センター中央病院,愛知県,令和5年度出来高算定病院,89.0,267.0,完全一致,1.0,愛知県医療療育総合センター中央病院,,
医療法人社団医王会朝倉健生病院,福岡県,令和5年度出来高算定病院,80.0,150.0,完全一致,1.0,医療法人社団医王会 朝倉健生病院,,
医療法人社団清和会南札幌病院,北海道,令和5年度出来高算定病院,0.0,94.0,完全一致,1.0,医療法人社団清和会 南札幌病院,,
下村病院,高知県,令和4年度出来高算定病院,0.0,41.0,完全一致,1.0,下村病院,,
社会医療法人春回会出島病院,長崎県,令和4年度出来高算定病院,0.0,37.0,サフィックス一致,0.9,出島病院,,
医療法人北祐会北海道脳神経内科病院,北海道,令和5年度出来高算定病院,0.0,105.0,サフィックス一致,0.9,北海道脳神経内科病院,,
社会医療法人アルデバラン手稲いなづみ病院,北海道,令和5年度出来高算定病院,0.0,110.0,完全一致,1.0,社会医療法人 アルデバラン 手稲いなづみ病院,,
北海道立旭川子ども総合療育センター,北海道,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,北海道立旭川子ども総合療育センター,,
社会医療法人こぶし　ウトナイ病院,北海道,令和5年度出来高算定病院,0.0,180.0,未結合,,,,
士幌町国民健康保険病院,北海道,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,士幌町国民健康保険病院,,
町立真室川病院,山形県,令和5年度出来高算定病院,45.0,55.0,完全一致,1.0,町立真室川病院,,
三友堂病院,山形県,令和5年度出来高算定病院,0.0,199.0,完全一致,1.0,三友堂病院,,
岐阜県厚生農業協同組合連合会　岐阜・西濃医療センター　西美濃厚生病院,岐阜県,令和5年度出来高算定病院,50.0,140.0,完全一致,1.0,岐阜県厚生農業協同組合連合会 岐阜・西濃医療センター 西美濃厚生病院,,
大山病院,茨城県,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,大山病院,,
医療法人康積会柴病院,栃木県,令和5年度出来高算定病院,13.0,110.0,未結合,,,,
群馬県立精神医療センター,群馬県,令和5年度出来高算定病院,0.0,207.0,未結合,,,,
医療法人社団晃悠会ふじみの救急病院,埼玉県,令和5年度出来高算定病院,20.0,20.0,サフィックス一致,0.9,ふじみの救急病院,,
医療法人西狭山病院,埼玉県,令和5年度出来高算定病院,41.0,41.0,完全一致,1.0,医療法人西狭山病院,,
医療法人社団三光会そのべ病院,埼玉県,令和5年度出来高算定病院,22.0,51.0,未結合,,,,
医療法人札幌ハートセンター　札幌ハートクリニック,北海道,令和5年度出来高算定病院,20.0,20.0,サフィックス一致,0.9,札幌ハートクリニック,,
医療法人社団五風会さっぽろ香雪病院,北海道,令和5年度出来高算定病院,0.0,450.0,未結合,,,,
医療法人社団明敬会重城病院,千葉県,令和5年度出来高算定病院,36.0,36.0,完全一致,1.0,医療法人社団明敬会重城病院,,
医療法人社団柏水会初石病院,千葉県,令和5年度出来高算定病院,0.0,746.0,未結合,,,,
社会福祉法人創仁会東葛医療福祉センター光陽園,千葉県,令和5年度出来高算定病院,0.0,88.0,サフィックス一致,0.9,東葛医療福祉センター光陽園,,
医療法人明柳会恩田第二病院,千葉県,令和5年度出来高算定病院,0.0,272.0,未結合,,,,
医療法人社団太公会我孫子東邦病院,千葉県,令和5年度出来高算定病院,100.0,100.0,完全一致,1.0,医療法人社団太公会我孫子東邦病院,,
医療法人同和会千葉病院,千葉県,令和5年度出来高算定病院,0.0,331.0,未結合,,,,
医療法人社団敬愛会福島南病院,福島県,令和5年度出来高算定病院,55.0,115.0,サフィックス一致,0.9,福島南病院,,
